"State","Sector","Fuel","Year","Value"
"Alabama","Commercial","Petroleum Products",2008,0.6
"Alabama","Commercial","Natural Gas",2008,1.4
"Alabama","Commercial","Total",2008,2
"Alabama","Industry","Coal",2008,7.6
"Alabama","Industry","Petroleum Products",2008,4.8
"Alabama","Industry","Natural Gas",2008,8.7
"Alabama","Industry","Total",2008,21.1
"Alabama","Transport","Coal",2008,0
"Alabama","Transport","Petroleum Products",2008,32.1
"Alabama","Transport","Natural Gas",2008,0.9
"Alabama","Transport","Total",2008,33
"Alabama","Electricity","Coal",2008,72
"Alabama","Electricity","Petroleum Products",2008,0.1
"Alabama","Electricity","Natural Gas",2008,9
"Alabama","Electricity","Total",2008,81
"Alabama","Residential","Coal",2009,0
"Alabama","Residential","Petroleum Products",2009,0.5
"Alabama","Residential","Natural Gas",2009,2
"Alabama","Residential","Total",2009,2.5
"Alabama","Commercial","Coal",2009,0
"Alabama","Commercial","Petroleum Products",2009,0.6
"Alabama","Commercial","Natural Gas",2009,1.3
"Alabama","Commercial","Total",2009,1.9
"Alabama","Industry","Coal",2009,5.6
"Alabama","Industry","Petroleum Products",2009,3.7
"Alabama","Industry","Natural Gas",2009,8.1
"Alabama","Industry","Total",2009,17.3
"Alabama","Transport","Coal",2009,0
"Alabama","Transport","Petroleum Products",2009,30.9
"Alabama","Transport","Natural Gas",2009,1
"Alabama","Transport","Total",2009,31.9
"Alabama","Electricity","Coal",2009,54
"Alabama","Electricity","Petroleum Products",2009,0.1
"Alabama","Electricity","Natural Gas",2009,12.3
"Alabama","Electricity","Total",2009,66.4
"Alabama","Residential","Coal",2010,0
"Alabama","Residential","Petroleum Products",2010,0.6
"Alabama","Residential","Natural Gas",2010,2.3
"Alabama","Residential","Total",2010,2.9
"Alabama","Commercial","Coal",2010,0
"Alabama","Commercial","Petroleum Products",2010,0.7
"Alabama","Commercial","Natural Gas",2010,1.5
"Alabama","Commercial","Total",2010,2.1
"Alabama","Industry","Coal",2010,6.4
"Alabama","Industry","Petroleum Products",2010,3.7
"Alabama","Industry","Natural Gas",2010,8.7
"Alabama","Industry","Total",2010,18.8
"Alabama","Transport","Coal",2010,0
"Alabama","Transport","Petroleum Products",2010,31
"Alabama","Transport","Natural Gas",2010,1.2
"Alabama","Transport","Total",2010,32.2
"Alabama","Electricity","Coal",2010,61.4
